,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
573,17.752,-22.052,10124.0,0.0
574,17.727,-22.085,9962.0,0.0
575,17.664,-22.205,9808.0,0.0
576,17.667,-22.243,9978.0,0.0
577,17.64,-22.31,14682.0,0.0
578,17.634,-22.428,15213.0,0.0
579,17.602,-22.515,15858.0,0.0
580,17.598,-22.646,25351.0,0.0
581,17.597,-22.746,32793.0,0.0
582,17.622,-22.74,34130.0,0.0
583,17.624,-22.701,34430.0,0.0
584,17.659,-22.727,35203.0,0.0
585,17.681,-22.738,35210.0,0.0
586,17.721,-22.805,35526.0,0.0
587,17.757,-22.902,35370.0,0.0
588,17.758,-22.96,35456.0,0.0
589,17.776,-22.995,64715.99999999999,0.0
590,17.815,-22.977,50098.0,0.0
591,17.831,-23.029,35313.0,0.0
592,17.852,-23.096,35922.0,0.0
593,17.823,-23.185,35946.0,0.0
594,17.824,-23.226,35882.0,0.0
595,17.824,-23.348,36606.0,0.0
596,17.822,-23.405,35915.0,0.0
597,17.822,-23.446,35980.0,0.0
598,17.823,-23.573,36194.0,0.0
599,17.808,-23.637,36117.0,0.0
600,17.807,-23.654,36735.0,0.0
601,17.818,-23.663,36552.0,0.0
602,17.825,-23.546,36533.0,0.0
603,17.792,-23.422,36533.0,0.0
604,17.8,-23.421,36396.0,0.0
605,17.787,-23.503,62585.0,0.11
606,17.783,-23.55,66462.0,4.351
607,17.807,-23.473,67061.0,12.553
608,17.916,-23.363,35692.0,46.666
609,17.971,-23.341,36069.0,84.482
610,17.977,-23.128,36160.0,122.543
611,18.042,-22.783,36489.0,157.667
612,18.123,-22.399,36298.0,201.883
613,18.245,-21.961,36210.0,234.643
614,18.353,-21.521,36227.0,270.85
615,18.438,-21.051,36080.0,332.083
616,18.509,-20.109,36347.0,337.383
617,18.532,-19.181,67832.0,286.37
618,18.577,-18.676,90986.0,298.4
619,18.622,-18.138,80298.0,321.29
620,18.633,-17.617,91421.0,286.95
621,18.656,-16.468,61797.0,283.25
622,18.693,-15.914,90644.0,273.137
623,18.748,-15.424,92767.0,244.157
624,18.796,-15.039,93684.0,227.533
625,18.838,-15.13,85234.0,174.69
626,18.903,-15.379,77247.0,162.363
627,18.893,-15.436,90076.0,196.563
628,18.931,-15.435,93397.0,189.157
629,18.938,-15.74,89274.0,187.35
630,18.963,-15.582,79603.0,210.037
631,18.979,-15.099,83686.0,187.93
632,18.973,-14.955,97677.0,185.84
633,19.035,-14.887,97318.0,147.07
634,19.092,-14.82,91355.0,167.99
635,19.115,-14.499,100823.0,110.92
636,19.174,-14.648,92431.0,98.699
637,19.194,-14.792,87300.0,95.959
638,19.15,-14.958,99940.0,98.92
639,19.18,-15.05,93112.0,34.021
640,19.221,-15.57,76415.0,17.35
641,19.176,-15.986,93390.0,4.83
642,19.172,-16.133,95308.0,0.539
643,19.126,-15.99,17331.0,0.0
644,18.96,-15.94,8262.0,0.0
645,18.802,-15.919,8503.0,0.0
646,18.659,-15.842,11056.0,0.0
647,18.596,-15.77,7906.0,0.0
648,18.476,-15.712,8335.0,0.0
649,18.394,-15.624,11219.0,0.0
650,18.324,-15.438,7592.0,0.0
651,18.271,-15.183,14968.0,0.0
652,18.21,-14.943,11206.0,0.0
653,18.154,-14.725,8195.0,0.0
654,18.09,-14.538,10583.0,0.0
655,18.057,-14.357,10848.0,0.0
656,18.019,-14.17,7765.0,0.0
657,17.982,-13.965,10450.0,0.0
658,17.973,-13.817,5608.0,0.0
659,17.943,-13.76,13173.0,0.0
660,17.904,-13.622,10998.0,0.0
661,17.866,-13.478,12670.0,0.0
662,17.898,-13.77,14556.0,0.0
663,17.933,-14.016,31148.0,0.0
664,17.956,-13.955,34233.0,0.0
665,18.028,-13.653,35043.0,0.0
666,18.061,-13.283,35924.0,0.0
667,18.104,-13.095,36105.0,0.0
668,18.148,-13.458,35737.0,0.0
669,18.188,-13.548,35583.0,0.0
670,18.212,-13.552,36106.0,0.0
671,18.23,-13.39,36473.0,0.0
672,18.284,-12.906,35734.0,0.0
673,18.237,-12.358,29382.0,0.0
674,18.231,-12.026,7973.0,0.0
675,18.177,-11.739,11357.0,0.0
676,18.114,-11.588,11437.0,0.0
677,18.082,-11.463,11762.0,0.0
678,18.046,-11.343,11526.0,0.0
679,18.046,-11.255,11715.0,0.0
680,18.033,-11.483,11473.0,0.0
681,18.029,-12.344,8563.0,0.0
682,18.001,-12.706,10794.0,0.0
683,17.997,-12.812,11254.0,0.0
